Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
Glory Days 2,DS,2007,Strategy,0.08800000000000001,0.08712,0.12728,0.03968,73,7.3,E10+
Brain Age: Concentration Training,3DS,2012,Puzzle,0.099,0.09801,0.13069,0.040889999999999996,71,7.9,E
Crash 'N' Burn,XB,2004,Racing,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,65,6.4,T
Pac-Man and the Ghostly Adventures 2,PS3,2014,Adventure,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,59,6.3,E10+
Hakuoki: Demon of the Fleeting Blossom,PSP,2009,Adventure,0.08800000000000001,0.08712,0.12728,0.03968,79,8.3,M
Speed Kings,PS2,2003,Racing,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,61,7.8,E
Dungeons,PC,2011,Strategy,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,65,4.6,M
Little League World Series Baseball 2008,Wii,2008,Sports,0.099,0.09801,0.13069,0.040889999999999996,70,8.0,E
Winter Stars,X360,2011,Sports,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,46,6.5,E
Bladestorm: The Hundred Years' War,X360,2007,Action,0.08800000000000001,0.08712,0.12728,0.03968,63,6.8,T
Burnout Paradise: The Ultimate Box,PC,2009,Racing,0.0,0.0,0.1,0.03,87,7.5,E10+
Forever Kingdom,PS2,2001,Role-Playing,0.022000000000000002,0.02178,0.10682000000000001,0.03242,64,7.8,T
Altered Beast: Guardian of the Realms,GBA,2002,Action,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,63,4.8,T
The Legend of Heroes: A Tear of Vermillion,PSP,2005,Role-Playing,0.08800000000000001,0.08712,0.12728,0.03968,68,7.7,T
Raven Squad: Operation Hidden Dagger,X360,2009,Shooter,0.08800000000000001,0.08712,0.12728,0.03968,38,3.5,T
Age of Empires II: The Age of Kings,PC,1999,Strategy,0.011000000000000001,0.01089,0.10341,0.031209999999999998,92,9.0,T
Family Party: 30 Great Games,Wii,2008,Misc,0.08800000000000001,0.08712,0.12728,0.03968,42,1.0,E10+
Shining Tears,PS2,2004,Role-Playing,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,61,6.5,T
MotoGP,XB,2002,Racing,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,84,8.4,E
Scaler,PS2,2004,Platform,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,70,8.6,E
Halo 2,PC,2007,Shooter,0.011000000000000001,0.01089,0.10341,0.031209999999999998,72,5.6,M
Gradius V,PS2,2004,Shooter,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,82,8.5,T
Medal of Honor: Vanguard,Wii,2007,Shooter,0.066,0.06534000000000001,0.12046000000000001,0.03726,56,7.0,T
Beaterator,PSP,2009,Misc,0.066,0.06534000000000001,0.12046000000000001,0.03726,80,7.8,E
Arcania: Gothic 4,X360,2010,Role-Playing,0.044000000000000004,0.04356,0.11364,0.034839999999999996,64,5.2,T
Psychonauts,PS2,2005,Platform,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,86,8.7,T
Code Lyoko: Quest for Infinity,Wii,2007,Action,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,58,8.5,E10+
Digimon Rumble Arena 2,PS2,2004,Fighting,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,63,7.3,T
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016,Action,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,44,5.5,T
Ribbit King,PS2,2003,Sports,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,58,6.5,E
Alien Hominid,GC,2004,Shooter,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,78,8.5,T
Rygar: The Battle of Argus,Wii,2008,Action,0.099,0.09801,0.13069,0.040889999999999996,52,7.0,T
Ninja Gaiden Black,XB,2005,Action,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,94,8.7,M
Touch Detective,DS,2006,Adventure,0.066,0.06534000000000001,0.12046000000000001,0.03726,60,6.8,E10+
Trivial Pursuit unhinged,XB,2004,Misc,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,58,8.0,T
NCAA March Madness 08,PS3,2007,Sports,0.08800000000000001,0.08712,0.12728,0.03968,67,3.8,E
InuYasha: Secret of the Divine Jewel,DS,2007,Role-Playing,0.099,0.09801,0.13069,0.040889999999999996,46,7.6,E10+
Bloody Roar 4,PS2,2003,Fighting,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,59,8.6,M
Atari Classics Evolved,PSP,2007,Misc,0.08800000000000001,0.08712,0.12728,0.03968,64,6.0,E
I-Ninja,GC,2003,Platform,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,77,7.6,T
Steins;Gate 0,PSV,2015,Adventure,0.0,0.0,0.1,0.03,86,9.3,M
Football Manager 2017,PC,2016,Simulation,0.0,0.0,0.1,0.03,81,4.3,E
Wild ARMs: Alter Code F,PS2,2003,Role-Playing,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,73,8.3,T
Army Corps of Hell,PSV,2011,Action,0.044000000000000004,0.04356,0.11364,0.034839999999999996,57,6.6,M
Shrek SuperSlam,XB,2005,Action,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,71,9.3,E10+
Ultimate Mortal Kombat,DS,2007,Fighting,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,73,8.6,M
Total Overdose: A Gunslinger's Tale in Mexico,PS2,2005,Shooter,0.044000000000000004,0.04356,0.11364,0.034839999999999996,71,9.0,M
Metal Slug X,PS,2001,Shooter,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,85,8.8,T
Romance of the Three Kingdoms X,PS2,2005,Strategy,0.044000000000000004,0.04356,0.11364,0.034839999999999996,71,8.5,T
Prinny: Can I Really Be the Hero?,PSP,2008,Platform,0.033,0.032670000000000005,0.11023000000000001,0.03363,72,7.0,T
GripShift,PSP,2005,Racing,0.08800000000000001,0.08712,0.12728,0.03968,70,8.7,E
Fighting Fantasy: The Warlock of Firetop Mountain,DS,2009,Role-Playing,0.08800000000000001,0.08712,0.12728,0.03968,45,8.1,T
Beowulf: The Game,PSP,2007,Action,0.08800000000000001,0.08712,0.12728,0.03968,44,5.4,M
Skies of Arcadia,DC,2000,Role-Playing,0.0,0.0,0.1,0.03,93,9.4,T
NASCAR: Dirt to Daytona,GC,2002,Racing,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,85,7.3,E
Road Trip,PS2,2002,Racing,0.044000000000000004,0.04356,0.11364,0.034839999999999996,80,9.0,E
Jimmie Johnson's Anything With an Engine,X360,2011,Racing,0.08800000000000001,0.08712,0.12728,0.03968,65,8.8,E10+
echochrome,PSP,2008,Puzzle,0.0,0.0,0.1,0.03,79,7.7,E
Project Eden,PS2,2001,Action,0.044000000000000004,0.04356,0.11364,0.034839999999999996,71,7.8,T
Riviera: The Promised Land,PSP,2006,Role-Playing,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,68,7.7,T
Digimon All-Star Rumble,PS3,2014,Fighting,0.066,0.06534000000000001,0.12046000000000001,0.03726,49,5.8,E10+
Driver: Renegade,3DS,2011,Racing,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,48,5.0,M
Yaiba: Ninja Gaiden Z,PS3,2014,Action,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,43,4.5,M
Castlevania: Lords of Shadow 2,X360,2014,Action,0.022000000000000002,0.02178,0.10682000000000001,0.03242,70,7.8,M
Ghosthunter,PS2,2003,Action,0.044000000000000004,0.04356,0.11364,0.034839999999999996,69,8.7,T
Shadow of Destiny,PSP,2009,Adventure,0.08800000000000001,0.08712,0.12728,0.03968,54,8.2,T
Mimana Iyar Chronicle,PSP,2009,Role-Playing,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,45,5.8,T
Michael Jackson: The Experience,PSV,2011,Misc,0.044000000000000004,0.04356,0.11364,0.034839999999999996,57,5.8,E10+
Def Jam Fight For NY: The Takeover,PSP,2006,Action,0.08800000000000001,0.08712,0.12728,0.03968,79,8.2,M
Tom Clancy's EndWar,DS,2008,Strategy,0.08800000000000001,0.08712,0.12728,0.03968,69,5.8,T
JASF: Jane's Advanced Strike Fighters,X360,2011,Simulation,0.066,0.06534000000000001,0.12046000000000001,0.03726,45,4.5,T
Astro Boy: Omega Factor,GBA,2003,Action,0.066,0.06534000000000001,0.12046000000000001,0.03726,85,8.6,E
Disgaea Infinite,PSP,2010,Adventure,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,64,4.4,T
Phantom Brave: The Hermuda Triangle,PSP,2010,Role-Playing,0.066,0.06534000000000001,0.12046000000000001,0.03726,65,7.3,T
Fullmetal Alchemist: Dual Sympathy,DS,2005,Role-Playing,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,58,7.3,T
Lock's Quest,DS,2008,Strategy,0.08800000000000001,0.08712,0.12728,0.03968,80,8.7,E
Rugby 2005,PS2,2005,Sports,0.044000000000000004,0.04356,0.11364,0.034839999999999996,71,8.6,E
Pokemon Rumble World,3DS,2015,Action,0.0,0.0,0.1,0.03,58,6.4,E10+
Spectral Force Genesis,DS,2008,Role-Playing,0.08800000000000001,0.08712,0.12728,0.03968,46,7.0,T
Last Rebellion,PS3,2010,Role-Playing,0.066,0.06534000000000001,0.12046000000000001,0.03726,44,4.6,T
DriveClub VR,PS4,2016,Racing,0.033,0.032670000000000005,0.11023000000000001,0.03363,67,7.4,E
Quantum Theory,X360,2010,Shooter,0.066,0.06534000000000001,0.12046000000000001,0.03726,37,3.6,M
Tornado Outbreak,PS3,2009,Action,0.08800000000000001,0.08712,0.12728,0.03968,69,7.6,E10+
Justice League Heroes,DS,2006,Role-Playing,0.08800000000000001,0.08712,0.12728,0.03968,43,5.7,E10+
Space Invaders Extreme,PSP,2008,Shooter,0.066,0.06534000000000001,0.12046000000000001,0.03726,84,6.8,E
Mystic Heroes,GC,2002,Action,0.033,0.032670000000000005,0.11023000000000001,0.03363,67,8.5,T
Zoids Assault,X360,2007,Strategy,0.08800000000000001,0.08712,0.12728,0.03968,46,7.3,T
Arslan: The Warriors of Legend,PS4,2015,Action,0.033,0.032670000000000005,0.11023000000000001,0.03363,69,6.6,T
Freestyle Metal X,PS2,2003,Racing,0.044000000000000004,0.04356,0.11364,0.034839999999999996,67,8.3,T
Dark Angel: Vampire Apocalypse,PS2,2001,Role-Playing,0.044000000000000004,0.04356,0.11364,0.034839999999999996,53,5.6,T
Damnation,PS3,2009,Shooter,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,36,2.8,M
Supreme Commander,X360,2008,Strategy,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,56,5.7,E10+
Transworld Snowboarding,XB,2002,Sports,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,74,9.2,T
World Soccer Winning Eleven 8 International,XB,2004,Sports,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,90,8.4,E
Sniper Elite,XB,2005,Shooter,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,77,8.5,M
Mahjong Cub3D,3DS,2011,Puzzle,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,67,5.3,E
Test Drive: Eve of Destruction,XB,2004,Racing,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,72,8.7,T
Blazblue: Continuum Shift Extend,PS3,2011,Fighting,0.0,0.0,0.1,0.03,73,7.5,T
Crimson Sea,XB,2002,Action,0.044000000000000004,0.04356,0.11364,0.034839999999999996,78,8.2,T
Red Bull BC One,DS,2008,Misc,0.08800000000000001,0.08712,0.12728,0.03968,48,5.3,E
The Weakest Link,PS,2001,Misc,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,63,7.2,E
Viewtiful Joe: Red Hot Rumble,PSP,2006,Action,0.08800000000000001,0.08712,0.12728,0.03968,63,6.3,T
Wolfenstein: The Old Blood,PC,2015,Action,0.0,0.0,0.1,0.03,76,7.6,M
GRID Autosport,X360,2014,Racing,0.033,0.032670000000000005,0.11023000000000001,0.03363,75,6.0,E
Ikaruga,GC,2003,Shooter,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,85,8.5,E
The Suffering: Ties That Bind,XB,2005,Action,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,76,9.1,M
Nobunaga's Ambition: Iron Triangle,PS2,2006,Strategy,0.044000000000000004,0.04356,0.11364,0.034839999999999996,76,8.0,E10+
The Mummy: Tomb of the Dragon Emperor,Wii,2008,Action,0.08800000000000001,0.08712,0.12728,0.03968,39,6.4,T
Knights in the Nightmare,PSP,2010,Role-Playing,0.066,0.06534000000000001,0.12046000000000001,0.03726,75,7.7,T
Terraria,3DS,2016,Action,0.0,0.0,0.1,0.03,71,7.1,T
Digimon World 4,GC,2005,Role-Playing,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,55,8.1,E
Spectral Force 3,X360,2006,Role-Playing,0.08800000000000001,0.08712,0.12728,0.03968,59,7.5,T
Ty the Tasmanian Tiger 3: Night of the Quinkan,GC,2005,Action,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,68,8.0,E10+
The Ant Bully,Wii,2006,Platform,0.08800000000000001,0.08712,0.12728,0.03968,45,1.4,E10+
Risen 3: Titan Lords,PC,2014,Role-Playing,0.0,0.0,0.1,0.03,65,5.7,M
Battle Fantasia,X360,2008,Fighting,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,71,6.6,T
Karaoke Revolution,XB,2004,Misc,0.066,0.06534000000000001,0.12046000000000001,0.03726,80,8.5,E
Fire Pro Wrestling Returns,PS2,2005,Sports,0.044000000000000004,0.04356,0.11364,0.034839999999999996,78,8.5,T
Obscure: The Aftermath,PSP,2009,Action,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,66,8.2,M
Jimmy Neutron: Boy Genius,GC,2002,Platform,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,42,5.1,E
Henry Hatsworth in the Puzzling Adventure,DS,2009,Puzzle,0.08800000000000001,0.08712,0.12728,0.03968,82,8.0,E
Rollcage Stage II,PS,2000,Racing,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,85,8.9,E
Samurai Warriors 2: Xtreme Legends,PS2,2007,Action,0.044000000000000004,0.04356,0.11364,0.034839999999999996,50,8.0,T
Spider-Man: Edge of Time,Wii,2011,Action,0.066,0.06534000000000001,0.12046000000000001,0.03726,62,5.2,T
Jumper: Griffin's Story,Wii,2008,Action,0.08800000000000001,0.08712,0.12728,0.03968,28,2.5,T
Forgotten Realms: Demon Stone,XB,2004,Action,0.066,0.06534000000000001,0.12046000000000001,0.03726,72,6.5,T
Rock Band 3,DS,2010,Misc,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,79,5.5,E10+
LEGO Star Wars II: The Original Trilogy,GBA,2006,Action,0.066,0.06534000000000001,0.12046000000000001,0.03726,55,7.0,E
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,XB,2005,Adventure,0.066,0.06534000000000001,0.12046000000000001,0.03726,65,7.3,E10+
Top Gear Rally,GBA,2003,Racing,0.066,0.06534000000000001,0.12046000000000001,0.03726,78,7.6,E
Red Faction: Armageddon,PC,2011,Shooter,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,75,6.7,M
BIT.TRIP COMPLETE,Wii,2011,Misc,0.066,0.06534000000000001,0.12046000000000001,0.03726,84,8.7,E
Rugby 15,XOne,2015,Sports,0.033,0.032670000000000005,0.11023000000000001,0.03363,20,3.1,E
XIII,GC,2003,Shooter,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,73,7.7,M
Data East Arcade Classics,Wii,2010,Misc,0.08800000000000001,0.08712,0.12728,0.03968,56,8.2,T
Wizardry: Tale of the Forsaken Land,PS2,2001,Role-Playing,0.044000000000000004,0.04356,0.11364,0.034839999999999996,70,7.5,T
ShellShock 2: Blood Trails,X360,2009,Shooter,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,30,5.9,M
F.E.A.R. Files,X360,2007,Shooter,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,66,7.1,M
The Smurfs 2,WiiU,2013,Platform,0.044000000000000004,0.04356,0.11364,0.034839999999999996,42,5.6,E
Lara Croft and the Temple of Osiris,PS4,2014,Action,0.0,0.0,0.1,0.03,74,6.7,T
The Sims 2: Apartment Life,PC,2008,Simulation,0.0,0.0,0.1,0.03,75,7.7,T
Killer7,PS2,2005,Action,0.044000000000000004,0.04356,0.11364,0.034839999999999996,70,8.1,M
Age of Mythology,PC,2002,Strategy,0.022000000000000002,0.02178,0.10682000000000001,0.03242,89,8.9,T
Astro Boy,PS2,2004,Action,0.044000000000000004,0.04356,0.11364,0.034839999999999996,54,6.9,E
Puss in Boots,PS3,2011,Action,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,70,7.0,E10+
Monster House,GBA,2006,Adventure,0.066,0.06534000000000001,0.12046000000000001,0.03726,69,9.0,E
Cloudy With a Chance of Meatballs,X360,2009,Platform,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,62,6.5,E
MetropolisMania,PS2,2001,Strategy,0.044000000000000004,0.04356,0.11364,0.034839999999999996,63,7.1,T
NCAA Football 08,XB,2007,Sports,0.066,0.06534000000000001,0.12046000000000001,0.03726,82,8.1,E
Ephemeral Fantasia,PS2,2000,Role-Playing,0.044000000000000004,0.04356,0.11364,0.034839999999999996,48,6.3,T
1 vs. 100,DS,2008,Misc,0.08800000000000001,0.08712,0.12728,0.03968,38,3.2,E
Counter-Strike: Source,PC,2004,Shooter,0.0,0.0,0.1,0.03,88,8.9,M
Gray Matter,PC,2011,Adventure,0.022000000000000002,0.02178,0.10682000000000001,0.03242,72,7.7,T
America's Army: True Soldiers,X360,2007,Shooter,0.08800000000000001,0.08712,0.12728,0.03968,43,6.7,T
Raiden Fighters Aces,X360,2008,Shooter,0.066,0.06534000000000001,0.12046000000000001,0.03726,73,7.5,E10+
NASCAR The Game: Inside Line,PS3,2012,Racing,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,76,4.5,E
Star Wars: Empire at War,PC,2006,Strategy,0.011000000000000001,0.01089,0.10341,0.031209999999999998,79,8.4,T
BlazBlue Central Fiction,PS4,2016,Fighting,0.044000000000000004,0.04356,0.11364,0.034839999999999996,85,7.6,T
Sega GT Online,XB,2003,Racing,0.066,0.06534000000000001,0.12046000000000001,0.03726,72,9.2,T
Knights in the Nightmare,DS,2008,Role-Playing,0.066,0.06534000000000001,0.12046000000000001,0.03726,76,8.6,T
Marvel Nemesis: Rise of the Imperfects,DS,2005,Fighting,0.08800000000000001,0.08712,0.12728,0.03968,34,6.5,E10+
Nano Assault,3DS,2011,Shooter,0.08800000000000001,0.08712,0.12728,0.03968,75,7.7,E10+
Captain America: Super Soldier,3DS,2011,Action,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,51,5.0,T
Onimusha Tactics,GBA,2003,Strategy,0.066,0.06534000000000001,0.12046000000000001,0.03726,64,8.7,T
Bomberman Jetters,GC,2002,Puzzle,0.066,0.06534000000000001,0.12046000000000001,0.03726,70,7.9,E
TOCA Race Driver 3,PS2,2006,Racing,0.044000000000000004,0.04356,0.11364,0.034839999999999996,82,7.2,E10+
Mad Dog McCree: Gunslinger Pack,Wii,2009,Shooter,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,31,5.0,T
How to Train Your Dragon 2,WiiU,2014,Adventure,0.033,0.032670000000000005,0.11023000000000001,0.03363,47,4.9,E10+
Blacksite: Area 51,PS3,2007,Shooter,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,56,6.3,T
Disney's Donald Duck: Goin' Quackers,PS2,2000,Platform,0.044000000000000004,0.04356,0.11364,0.034839999999999996,73,7.3,E
Ultimate Brain Games,GBA,2003,Misc,0.066,0.06534000000000001,0.12046000000000001,0.03726,80,8.3,E
Exit,PSP,2005,Puzzle,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,77,7.7,E
Harvey Birdman: Attorney at Law,Wii,2008,Adventure,0.08800000000000001,0.08712,0.12728,0.03968,60,7.8,T
Aliens versus Predator: Extinction,XB,2003,Strategy,0.066,0.06534000000000001,0.12046000000000001,0.03726,64,7.7,T
Bejeweled 3,PC,2010,Puzzle,0.022000000000000002,0.02178,0.10682000000000001,0.03242,82,8.1,E
RTX Red Rock,PS2,2003,Shooter,0.044000000000000004,0.04356,0.11364,0.034839999999999996,49,5.0,T
FIFA Street 2,XB,2006,Sports,0.066,0.06534000000000001,0.12046000000000001,0.03726,63,7.1,E
Smart Bomb,PSP,2005,Puzzle,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,45,5.4,E10+
Shining Force: Resurrection of the Dark Dragon,GBA,2004,Role-Playing,0.066,0.06534000000000001,0.12046000000000001,0.03726,77,8.8,T
Shining Soul II,GBA,2003,Role-Playing,0.066,0.06534000000000001,0.12046000000000001,0.03726,74,8.3,E
The Golf Club,PS4,2014,Sports,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,66,6.3,E
Hello Kitty: Roller Rescue,GC,2005,Action,0.066,0.06534000000000001,0.12046000000000001,0.03726,64,6.8,E
Metal Slug Advance,GBA,2004,Shooter,0.066,0.06534000000000001,0.12046000000000001,0.03726,79,8.3,T
Pac-Man World Rally,GC,2006,Racing,0.066,0.06534000000000001,0.12046000000000001,0.03726,57,7.8,E
Blazing Angels: Squadrons of WWII,XB,2006,Simulation,0.066,0.06534000000000001,0.12046000000000001,0.03726,69,6.8,T
